sum_edge_lengths,mean_dependency_distance,head_initial,exp_sum_edge_lengths,mean_hierarchical_distance,n,predicted_num_crossings,exp_num_crossings,tree_diameter,avg_pause_before_token,avg_pause_before_char
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,1091.5,925.3333333333334
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,1091.5,876.4
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
4,1.33333,0.333333,5.0,1.0,4,0.0,0.0,2,810.75,605.5833333333334
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
4,1.33333,0.333333,5.0,1.0,4,0.0,0.0,2,810.75,639.3636363636364
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
11,1.57143,0.285714,21.0,1.71429,8,0.571429,4.33333,5,2429.625,1330.7391304347825
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
11,1.57143,0.428571,21.0,1.57143,8,0.571429,3.66667,4,2429.625,1315.3636363636363
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
13,1.625,0.25,26.6667,2.0,9,0.75,6.33333,6,2209.8888888888887,1186.5806451612902
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
13,1.625,0.25,26.6667,2.0,9,0.75,6.33333,6,2209.8888888888887,1238.5
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
4,1.33333,0.0,5.0,1.33333,4,0.0,0.333333,3,1560.0,986.6875
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
4,1.33333,0.0,5.0,1.33333,4,0.0,0.333333,3,1560.0,1032.7333333333333
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
23,1.76923,0.307692,65.0,2.46154,14,2.45575,19.0,7,1926.642857142857,1104.2
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
23,1.76923,0.307692,65.0,2.46154,14,2.45575,19.0,7,1926.642857142857,1122.591836734694
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
28,2.0,0.285714,74.6667,1.92857,15,2.37382,23.3333,6,1826.2666666666667,1079.1153846153845
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
28,2.0,0.285714,74.6667,1.92857,15,2.37382,23.3333,6,1826.2666666666667,1079.1153846153845
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
39,2.4375,0.3125,96.0,2.125,17,5.01137,31.0,6,1689.4117647058824,1023.1
1,1.0,1.0,1.0,1.0,2,0.0,0.0,1,3237.5,1219.142857142857
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
39,2.4375,0.3125,96.0,2.125,17,5.01137,31.0,6,1689.4117647058824,1023.1
0,,,0.0,,1,0.0,0.0,0,843.0,738.6666666666666
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
19,2.11111,0.333333,33.0,1.88889,10,1.20261,8.0,6,2723.7,1361.909090909091
39,2.4375,0.3125,96.0,2.125,17,5.01137,31.0,6,1689.4117647058824,1023.1
20,2.5,0.375,26.6667,1.375,9,1.05769,4.66667,4,2445.777777777778,1014.0
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,132.5,195.0
0,,,0.0,,1,0.0,0.0,0,125.0,213.33333333333334
0,,,0.0,,1,0.0,0.0,0,0.0,0.0
17,2.125,0.5,26.6667,1.75,9,0.2,5.66667,5,804.3333333333334,385.21875
16,2.66667,0.5,16.0,1.33333,7,0.904762,2.0,3,887.0,418.2692307692308
50,3.84615,0.538462,65.0,1.61538,14,2.3801,16.6667,5,789.0,377.88
30,2.5,0.5,56.0,1.75,13,2.99849,14.3333,5,843.6923076923077,384.0
38,3.16667,0.5,56.0,1.66667,13,2.15973,14.3333,5,843.6923076923077,383.01960784313724
30,2.5,0.5,56.0,1.75,13,2.99849,14.3333,5,843.6923076923077,384.0
85,2.83333,0.466667,320.0,3.73333,31,11.7514,127.667,10,576.1935483870968,302.43119266055044
110,3.7931,0.482759,299.667,3.27586,30,11.3658,118.333,9,563.1666666666666,298.02803738317755
129,3.90909,0.515152,385.0,3.39394,34,11.0126,156.333,10,604.7647058823529,311.632
129,3.90909,0.515152,385.0,3.39394,34,11.0126,156.333,10,604.7647058823529,315.72131147540983
178,3.70833,0.5,800.0,4.33333,49,16.6259,347.0,13,743.7551020408164,349.6136363636364
180,3.75,0.479167,800.0,4.35417,49,18.1034,346.333,13,743.7551020408164,351.4393063583815
243,4.58491,0.490566,971.667,4.54717,54,19.502,425.333,13,829.1851851851852,399.8238341968912
240,4.5283,0.490566,971.667,4.56604,54,18.4917,425.667,13,829.1851851851852,399.46875
249,4.69811,0.509434,971.667,4.01887,54,21.6794,427.0,12,829.1851851851852,398.96907216494844
150,2.83019,0.490566,971.667,4.22642,54,21.9173,428.333,12,829.1851851851852,400.63212435233163
163,2.85965,0.473684,1121.0,4.89474,58,22.4257,495.333,13,835.7586206896551,396.0801886792453
155,2.7193,0.491228,1121.0,4.98246,58,21.2683,496.333,14,835.7586206896551,396.9952606635071
161,2.72881,0.457627,1199.67,5.16949,60,23.6192,533.0,14,831.55,392.65158371040724
221,3.74576,0.440678,1199.67,5.0339,60,25.9911,532.0,14,831.55,393.5863636363636
234,3.83607,0.47541,1281.0,4.63934,62,27.0102,572.333,13,828.1129032258065,429.50431034482756
234,3.83607,0.47541,1281.0,4.63934,62,27.0102,572.333,13,828.1129032258065,432.4061135371179
234,3.83607,0.47541,1281.0,4.63934,62,27.0102,572.333,13,828.1129032258065,432.4061135371179
179,2.93443,0.47541,1281.0,4.32787,62,27.3692,572.0,12,828.1129032258065,391.60526315789474
179,2.93443,0.47541,1281.0,4.32787,62,27.3692,572.0,12,828.1129032258065,391.60526315789474
229,3.88136,0.474576,1199.67,4.54237,60,26.8955,534.0,13,831.55,389.8311111111111
179,2.79688,0.46875,1408.0,5.07812,65,29.2182,632.667,14,800.723076923077,378.0329218106996
186,2.90625,0.453125,1408.0,4.875,65,29.796,632.0,13,800.723076923077,380.3278008298755
190,2.83582,0.447761,1541.0,5.10448,68,30.2809,696.0,15,826.6470588235294,380.4015444015444
246,3.72727,0.454545,1496.0,5.12121,67,30.0648,674.667,15,796.8358208955224,370.93023255813955
185,2.76119,0.432836,1541.0,4.91045,68,29.8579,697.0,15,792.0,371.3050193050193
246,3.72727,0.454545,1496.0,5.12121,67,30.0648,674.667,15,796.8358208955224,370.93023255813955
187,2.79104,0.447761,1541.0,5.31343,68,31.5572,696.667,15,1087.7205882352941,447.5769230769231
246,3.72727,0.454545,1496.0,5.12121,67,30.0648,674.667,15,796.8358208955224,370.93023255813955
265,3.68056,0.5,1776.0,5.51389,73,31.9387,807.667,16,932.6438356164383,406.8872727272727
264,3.66667,0.5,1776.0,5.54167,73,31.3421,808.0,17,932.6438356164383,407.007299270073
205,2.77027,0.445946,1874.67,5.86486,75,34.8554,855.667,18,944.1733333333333,405.74564459930315
199,2.68919,0.5,1874.67,5.82432,75,32.2024,855.667,17,944.1733333333333,408.22968197879857
523,6.5375,0.5,2186.67,5.7,81,39.852,998.0,17,907.5432098765432,395.3954248366013
523,6.5375,0.5,2186.67,5.7,81,39.852,998.0,17,907.5432098765432,396.127868852459
333,3.82759,0.448276,2581.0,6.6092,88,43.7555,1188.33,18,1241.8522727272727,480.20298507462684
333,3.82759,0.448276,2581.0,6.6092,88,43.7555,1188.33,18,1241.8522727272727,481.4071856287425
250,2.84091,0.443182,2640.0,6.82955,89,43.8126,1218.0,19,1662.0786516853932,593.6360946745563
165,3.83721,0.511628,645.0,3.76744,44,15.4488,275.667,12,783.9545454545455,365.8993710691824
162,3.6,0.4,705.0,5.44444,46,19.4887,297.333,11,2467.586956521739,795.927374301676
247,2.80682,0.431818,2640.0,6.79545,89,41.6563,1217.67,19,1662.0786516853932,595.026706231454
247,2.80682,0.443182,2640.0,6.79545,89,41.6563,1217.0,19,1662.0786516853932,637.1597633136095
256,2.8764,0.438202,2699.67,6.83146,90,44.7085,1245.67,19,1644.3111111111111,655.2064896755162
259,2.87778,0.422222,2760.0,6.91111,91,45.9325,1275.33,19,1631.032967032967,679.4764705882353
259,2.91011,0.404494,2699.67,5.47191,90,46.7133,1245.67,18,1646.388888888889,686.8298507462687
259,2.91011,0.404494,2699.67,5.47191,90,46.7133,1245.67,18,1646.388888888889,700.8958333333334
248,2.81818,0.409091,2640.0,6.26136,89,42.6243,1216.67,18,1657.7078651685392,700.8958333333334
403,4.52809,0.41573,2699.67,5.13483,90,51.2847,1242.67,17,1646.388888888889,702.103550295858
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,132.5,639.5555555555555
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,132.5,639.5555555555555
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
3,1.0,0.333333,5.0,1.33333,4,0.0,0.333333,3,2238.5,934.75
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,3884.0,1003.1
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
2,1.0,0.5,2.66667,1.0,3,0.0,0.0,2,2979.3333333333335,1018.2727272727273
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
3,1.5,1.0,2.66667,1.0,3,0.0,0.0,2,733.0,425.9
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
2,1.0,0.5,2.66667,1.0,3,0.0,0.0,2,1362.3333333333333,577.2727272727273
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
50,2.63158,0.368421,133.0,1.84211,20,7.06527,42.6667,6,1224.4,627.6774193548387
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
50,2.63158,0.368421,133.0,1.84211,20,7.06527,42.6667,6,1224.4,621.7582417582418
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
50,2.63158,0.368421,133.0,1.84211,20,7.06527,42.6667,6,1224.4,626.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
50,2.63158,0.368421,133.0,1.84211,20,7.06527,42.6667,6,1224.4,626.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
86,3.90909,0.454545,176.0,1.72727,23,9.68181,54.6667,6,1163.695652173913,630.15625
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
50,2.63158,0.368421,133.0,1.84211,20,7.06527,42.6667,6,1224.4,626.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
55,2.61905,0.380952,161.0,1.90476,22,7.91727,53.6667,6,1291.0454545454545,644.5773195876288
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,625.78125
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,625.78125
41,3.15385,0.307692,65.0,1.30769,14,3.56767,10.6667,3,2724.3571428571427,1115.8936170212767
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,625.78125
34,2.83333,0.25,56.0,1.33333,13,3.28962,9.33333,3,2830.6923076923076,1110.9782608695652
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,625.78125
41,2.73333,0.266667,85.0,1.6,16,6.03116,19.6667,4,2423.75,986.9122807017544
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,625.8
41,2.73333,0.266667,85.0,1.6,16,6.03116,19.6667,4,2423.75,986.9122807017544
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,629.84375
41,2.73333,0.266667,85.0,1.6,16,6.03116,19.6667,4,2423.75,986.9122807017544
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,619.2315789473685
41,2.73333,0.266667,85.0,1.6,16,6.03116,19.6667,4,2423.75,986.9122807017544
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
41,2.73333,0.266667,85.0,1.6,16,6.03116,19.6667,4,2423.75,986.9122807017544
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
22,2.0,0.363636,47.6667,1.81818,12,1.938,12.6667,6,2692.3333333333335,1034.2553191489362
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
21,1.90909,0.454545,47.6667,1.81818,12,1.20827,12.6667,6,2692.3333333333335,1044.195652173913
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
28,4.0,0.0,21.0,1.0,8,0.0,0.0,2,7474.5,2276.6666666666665
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
28,4.0,0.0,21.0,1.0,8,0.0,0.0,2,7474.5,2513.25
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
28,4.0,0.0,21.0,1.0,8,0.0,0.0,2,7474.5,2413.3333333333335
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
28,4.0,0.0,21.0,1.0,8,0.0,0.0,2,7474.5,2494.3793103448274
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
76,3.8,0.2,146.667,2.1,21,19.123,43.6667,5,3836.8571428571427,1416.5975609756097
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
41,3.15385,0.230769,65.0,1.53846,14,7.1757,13.6667,4,5171.5,1685.157894736842
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
55,3.23529,0.176471,107.667,1.88235,18,12.5319,29.6667,4,4336.777777777777,1453.1756756756756
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
49,2.88235,0.294118,107.667,1.88235,18,8.6153,29.6667,4,4336.777777777777,1503.8028169014085
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
0,,,0.0,,1,0.0,0.0,0,55271.0,27768.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
0,,,0.0,,1,0.0,0.0,0,55271.0,27768.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
0,,,0.0,,1,0.0,0.0,0,55271.0,19068.333333333332
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
0,,,0.0,,1,0.0,0.0,0,55271.0,55271.0
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
13,2.16667,0.333333,16.0,1.33333,7,1.14286,2.0,3,8838.42857142857,2818.9166666666665
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
13,2.16667,0.333333,16.0,1.33333,7,1.14286,2.0,3,8838.42857142857,2914.3478260869565
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
27,2.7,0.2,40.0,1.6,11,3.82032,8.66667,4,10807.90909090909,3176.05
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
27,2.7,0.2,40.0,1.6,11,3.82032,8.66667,4,10807.90909090909,3257.076923076923
11,2.2,0.4,11.6667,1.4,6,0.5,1.33333,3,1638.0,986.8421052631579
61,3.05,0.4,146.667,1.8,21,8.03931,46.6667,6,1235.904761904762,618.6354166666666
60,3.15789,0.315789,133.0,1.89474,20,8.76325,37.0,5,2345.45,970.5714285714286
36,2.76923,0.384615,65.0,1.84615,14,3.2744,18.3333,6,2965.1428571428573,1142.7627118644068
73,3.84211,0.210526,133.0,1.89474,20,16.1736,37.0,4,4127.7,1451.79012345679
